anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes),N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_EXCLUS_RESIDENCIAL,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_VAGOS_TOTAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_VEND_ARRE,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OUTR_MOTIVOS,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_INDIVIDUOS,N_INDIVIDUOS_0A14,N_INDIVIDUOS_15A24,N_INDIVIDUOS_25A64,N_INDIVIDUOS_65_OU_MAIS,N_INDIVIDUO_ENSINCOMP_NENHUM,N_INDIVIDUO_ENSINCOMP_1BAS,N_INDIVIDUO_ENSINCOMP_2BAS,N_INDIVIDUO_ENSINCOMP_3BAS,N_INDIVIDUO_ENSINCOMP_SEC_E_POSSEC,N_INDIVIDUO_ENSINCOMP_SUP,N_INDIVIDUOS_COM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_SEM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_EMPREGADOS,N_INDIVIDUOS_DESEMPREGADOS_1EMP,N_INDIVIDUOS_DESEMPREGADOS_NOVOEMP,N_INDIVIDUOS_REFORMADOS,N_INDIVIDUOS_NAC_ESTRANGEIRA,RENDA BRUTA ANUAL 
T1 com varanda junto ao estadio de Luz,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,61.2,1500,329,419,978,1484,20331,2086,867,1219,9690,4824,34076,4057,3463,17560,8996,3278,2980,1730,3791,6199,16098,16610,17466,15646,65,899,7975,2149,13415.0
Apartamento T3 para arrendamento,Apartamento,111413,ALVERCA DO RIBATEJO,VILA FRANCA DE XIRA,LISBOA,119.4,1650,2150,1205,840,4105,17394,1374,647,727,10920,3337,36465,5379,3769,20099,7218,4506,6045,3262,6165,9714,6773,18460,18005,17046,118,1296,7126,2435,9551.0
Arrendamento T0 com 40m2 na Rua Santa Catarina,Apartamento,131217,CEDOFEITA,PORTO,PORTO,40.0,900,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
Moradia T4 para arrendamento,Moradia,61509,SOURE,SOURE,COIMBRA,146.0,600,3615,298,13,3920,4533,699,122,577,2582,259,7466,834,664,3584,2384,1295,1904,641,1223,1607,796,3108,4358,2976,17,115,2331,149,8342.0
Apartamento T2 para arrendamento,Apartamento,111014,OEIRAS,OEIRAS,LISBOA,88.0,1550,2161,2668,1342,5931,31345,3283,1031,2252,16841,6884,58094,7426,5869,29906,14893,6069,6144,3699,8237,13548,20397,27182,30912,25148,167,1867,13562,4759,12916.0
T3 Real BRAGA (Parretas),Apartamento,30379,REAL,BRAGA,BRAGA,116.0,1000,1657,876,197,2723,5829,470,216,254,3725,960,13682,2135,1596,7966,1985,1716,2286,1407,2131,3062,3080,7246,6436,6744,70,432,2150,624,9164.0
Apartamento T2 - a 100 m do mar COSTA NOVA!,Apartamento,11005,GAFANHA DA ENCARNACAO,ILHAVO,AVEIRO,80.0,1000,2344,238,0,2566,3506,232,87,145,1566,246,5318,749,553,2963,1053,680,1270,702,874,1009,783,2541,2777,2392,9,140,974,164,9087.0
"Apartamento T1, junto ao Hospital de S. João",Apartamento,130617,PEDROUCOS,MAIA,PORTO,65.0,1100,1953,357,136,2409,6036,805,439,366,2780,1651,11564,1430,1144,6338,2652,1328,2489,1159,1665,2304,2619,5518,6046,4978,62,478,2627,370,9800.0
"Apartamento T3 totalmente remodelado, para arrendamento no Lumiar.",Apartamento,110618,LUMIAR,LISBOA,LISBOA,105.0,1650,466,318,1116,1714,24100,2030,887,1143,13204,4864,46334,6790,5154,24701,9689,5303,4157,2687,4546,7443,22198,23021,23313,21651,129,1241,8634,2356,13415.0
Arrendamento T3 em Santa Marta do Pinhal,Apartamento,151005,CORROIOS,SEIXAL,SETUBAL,104.0,1250,6480,2071,710,9202,24359,1424,552,872,16233,3137,50806,7316,5427,26881,11182,5960,7694,4480,8827,13629,10216,24316,26490,22242,202,1872,10780,3478,9494.0
Apartamento T1 para arrendamento,Apartamento,311003,SAO VICENTE,SAO VICENTE,LISBOA,62.73,1600,1815,121,3,1936,2014,279,114,165,967,99,2788,324,302,1430,732,488,827,320,371,469,313,1112,1676,995,22,95,650,96,5735.0
Apartamento T2 com garagem em zona da Lousã,Apartamento,60708,LOUSA,LOUSA,COIMBRA,80.0,650,3537,779,221,4521,7704,1259,613,646,3910,1208,12921,1779,1357,6962,2823,1560,2681,1326,2215,3113,2026,6069,6852,5666,36,367,2903,317,8100.0
Apartamento T1 para arrendamento,Apartamento,131217,CEDOFEITA,PORTO,PORTO,74.0,800,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
Apartamento T2+1 | Arrendamento | Renovado | Av. França | Garagem | Me,Apartamento,131217,CEDOFEITA,PORTO,PORTO,107.0,1800,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Casa T1 mobilado, Junto ao Rio Douro, Marina de Caldas de Aregos",Apartamento,181316,ANREADE,RESENDE,VISEU,34.0,600,849,107,6,962,1024,163,125,38,400,59,1348,174,157,728,289,226,405,148,219,228,122,542,806,480,15,47,287,11,5416.0
T1+1 Totalmente Renovado com terraço,Apartamento,110607,BEATO,LISBOA,LISBOA,54.0,1350,1046,455,229,1673,7525,1299,399,900,2258,2987,12183,1351,1148,6542,3142,1557,2315,1067,1977,2597,2670,5698,6485,4966,73,659,3028,1442,13415.0
Apartamento T3 Duplex na Cooperativa Arquitetos em Aldoar,Apartamento,131216,ALDOAR,PORTO,PORTO,149.0,1575,2543,1820,439,4706,14071,1455,543,912,7589,3332,29085,3988,3229,14220,7648,3172,3898,2148,3426,5062,11379,12693,16392,11618,139,936,6816,1235,11352.0
Apartamento T1 para arrendamento,Apartamento,110655,AREEIRO,LISBOA,LISBOA,65.85,1700,190,418,769,1156,12546,1758,1028,730,4703,3788,21160,2779,2217,11102,5062,2315,1983,1157,2201,3915,9589,10401,10759,9641,66,694,4431,1663,13415.0
T1 renovado no Alto da Pampilheira para arrendamento,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,45.0,1500,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
T2 Prq dos Principes - Arrendamento,Apartamento,110618,LUMIAR,LISBOA,LISBOA,108.0,1700,466,318,1116,1714,24100,2030,887,1143,13204,4864,46334,6790,5154,24701,9689,5303,4157,2687,4546,7443,22198,23021,23313,21651,129,1241,8634,2356,13415.0
Apartamento T2 | Telheiras Centro,Apartamento,110618,LUMIAR,LISBOA,LISBOA,77.0,1500,466,318,1116,1714,24100,2030,887,1143,13204,4864,46334,6790,5154,24701,9689,5303,4157,2687,4546,7443,22198,23021,23313,21651,129,1241,8634,2356,13415.0
"Apartamento T3, quarto andar, Av. Dr. Lourenço Peixinho, Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,87.17,1350,1539,1050,689,3114,13392,1613,936,677,5065,3829,21227,2547,2315,11865,4500,2124,2296,1361,2560,4487,8399,10878,10349,10185,68,625,4174,1990,10205.0
Arrendamento de curta e ou média duração,Apartamento,150303,COSTA DA CAPARICA,ALMADA,SETUBAL,55.0,850,2309,495,358,3083,13833,788,329,459,3775,1980,13968,1731,1190,7565,3482,1585,2066,1167,2304,3438,3408,6487,7481,5814,59,614,3354,1570,9927.0
Arrendo moradia independente,Moradia,131712,OLIVEIRA DO DOURO,VILA NOVA DE GAIA,PORTO,130.0,850,2808,858,275,3910,10577,1150,561,589,5762,2714,22615,2924,2371,12391,4929,2663,5241,2654,3810,4958,3289,10848,11767,9444,138,1266,5020,696,8928.0
Apartamento em Buarcos,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,65.0,640,3756,1963,508,6155,19130,2430,1759,671,5118,2444,18386,1935,1732,9256,5463,1956,3221,1583,2973,4325,4328,7960,10426,7167,76,717,5213,1312,9400.0
T2+1 na Povoa de Varzim para professores -Junto às Escolas,Apartamento,131315,POVOA DE VARZIM,POVOA DE VARZIM,PORTO,100.0,600,4671,2059,780,7455,21061,1415,695,720,8951,3677,35435,4611,3998,19454,7372,3984,7048,4397,5814,7803,6389,17050,18385,15370,184,1496,7343,1673,8177.0
Centro Maia,Apartamento,130619,CIDADE DA MAIA,MAIA,PORTO,65.0,750,4350,1276,590,6157,17714,1089,521,568,11141,3895,40534,5434,4492,22422,8186,4275,6563,3637,5903,9221,10935,20426,20108,18715,155,1556,8109,1351,9800.0
Alugo t2 na zona do Porto,Apartamento,130617,PEDROUCOS,MAIA,PORTO,40.0,800,1953,357,136,2409,6036,805,439,366,2780,1651,11564,1430,1144,6338,2652,1328,2489,1159,1665,2304,2619,5518,6046,4978,62,478,2627,370,9800.0
Arrendo Casa em Fafe,Moradia,30722,QUINCHAES,FAFE,BRAGA,300.0,550,903,130,3,1036,1160,193,111,82,603,114,2171,252,232,1193,494,316,575,399,326,371,184,1006,1165,930,10,66,562,18,7313.0
"Apartamento tipo T3, para arrendar.",Apartamento,30349,BRAGA,BRAGA,BRAGA,150.0,800,564,441,394,1352,6791,761,377,384,3368,1633,13974,1928,1681,7934,2431,1521,1945,1365,2157,3331,3655,7085,6889,6472,80,533,2557,1100,9164.0
Casinha t2 para alugar,Moradia,180525,LAMEGO,LAMEGO,VISEU,70.0,350,1860,1048,227,3115,7122,854,466,388,3396,1036,12071,1482,1305,6509,2775,1408,2388,1250,1855,2641,2529,5546,6525,4982,71,493,2651,83,7410.0
"T0 mobiliado e equipado em Paço d'arcos, Oeiras",Apartamento,111014,OEIRAS,OEIRAS,LISBOA,50.0,800,2161,2668,1342,5931,31345,3283,1031,2252,16841,6884,58094,7426,5869,29906,14893,6069,6144,3699,8237,13548,20397,27182,30912,25148,167,1867,13562,4759,12916.0
T3 em Telheiras,Apartamento,110618,LUMIAR,LISBOA,LISBOA,120.0,2100,466,318,1116,1714,24100,2030,887,1143,13204,4864,46334,6790,5154,24701,9689,5303,4157,2687,4546,7443,22198,23021,23313,21651,129,1241,8634,2356,13415.0
