anuncio/propriedade,tipo,CÓDIGO,FREGUESIA,CONCELHO,DISTRITO,area(m²),valor renda(€/mes),N_EDIFICIOS_1OU2_PISOS,N_EDIFICIOS_3OU4_PISOS,N_EDIFICIOS_5OU_MAIS_PISOS,N_EDIFICIOS_EXCLUS_RESIDENCIAL,N_ALOJAMENTOS_TOTAL,N_ALOJAMENTOS_VAGOS_TOTAL,N_ALOJAMENTOS_FAM_CLASS_VAGOS_VEND_ARRE,N_ALOJAMENTOS_FAM_CLASS_VAGOS_OUTR_MOTIVOS,N_RHABITUAL_PROP_OCUP,N_RHABITUAL_ARRENDADOS,N_INDIVIDUOS,N_INDIVIDUOS_0A14,N_INDIVIDUOS_15A24,N_INDIVIDUOS_25A64,N_INDIVIDUOS_65_OU_MAIS,N_INDIVIDUO_ENSINCOMP_NENHUM,N_INDIVIDUO_ENSINCOMP_1BAS,N_INDIVIDUO_ENSINCOMP_2BAS,N_INDIVIDUO_ENSINCOMP_3BAS,N_INDIVIDUO_ENSINCOMP_SEC_E_POSSEC,N_INDIVIDUO_ENSINCOMP_SUP,N_INDIVIDUOS_COM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_SEM_ATIVIDADE_ECONOMICA,N_INDIVIDUOS_EMPREGADOS,N_INDIVIDUOS_DESEMPREGADOS_1EMP,N_INDIVIDUOS_DESEMPREGADOS_NOVOEMP,N_INDIVIDUOS_REFORMADOS,N_INDIVIDUOS_NAC_ESTRANGEIRA,RENDA BRUTA ANUAL 
Apartamento T5 no Edifício Gemini nas Avenidas Novas,Apartamento,110657,AVENIDAS NOVAS,LISBOA,LISBOA,150.0,2600,122,460,1177,1416,14812,2258,1034,1224,5008,4488,23261,3047,2480,12276,5458,2595,1875,1130,2172,3925,11564,11421,11840,10761,62,598,4727,2318,13415.0
T2 Top mesmo nos Aliados! Mobilado SEM FIADOR,Apartamento,131217,CEDOFEITA,PORTO,PORTO,65.0,1000,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
T5 Duplex e Terraço na Rua dos Bragas SEM FIADOR,Apartamento,131217,CEDOFEITA,PORTO,PORTO,130.0,1600,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Apartamento T4+3 com móveis, inserido em condomínio priva...",Apartamento,110501,ALCABIDECHE,CASCAIS,LISBOA,310.0,12000,8754,1787,283,10732,20190,1973,918,1055,10350,4810,44165,6687,5235,23299,8944,5753,7355,4133,7305,10708,8911,20433,23732,18572,134,1727,8237,4474,11268.0
T1 Matosinhos Sul,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,70.0,1200,4880,1405,945,7054,24642,2295,1094,1201,12648,6487,49034,6447,4787,26644,11156,5695,9246,4484,6502,9959,13148,23627,25407,21177,256,2194,10663,2162,9937.0
T3 centro cidade remodelado,Apartamento,30884,OLIVEIRA,GUIMARAES,BRAGA,120.0,775,699,706,187,1561,4246,590,351,239,1471,1625,7830,713,730,4034,2353,756,1724,726,1146,1671,1807,3497,4333,3119,33,345,2445,319,8320.0
"REF3122 T2 Como Novo Mobilado & Equipado, Metro Combatentes, Paranhos",Apartamento,131210,PARANHOS,PORTO,PORTO,72.0,1300,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
Apartamento T1 Mobilado  com Lugar de Garagem - Boavista,Apartamento,131211,RAMALDE,PORTO,PORTO,100.0,1450,2588,1479,556,4524,19148,1776,617,1159,9559,5724,38847,5079,4066,20517,9185,4369,6074,3243,5256,7482,12423,18168,20679,16277,237,1654,8767,1561,11352.0
T2 Arrendar - Cabra Figa em Rio de Mouro,Apartamento,111108,RIO DE MOURO,SINTRA,LISBOA,90.0,900,3156,1180,983,5256,22242,1859,751,1108,13958,4144,49489,7728,6211,27984,7566,6187,6667,4965,9243,14408,8019,25826,23663,23433,225,2168,7473,4909,9057.0
Alugo Apartamento T3 Vizela,Apartamento,31408,CALDAS DE VIZELA,VIZELA,BRAGA,93.0,800,1983,349,145,2466,4770,409,205,204,2575,1117,11072,1374,1188,6207,2303,1369,2869,1424,1827,2203,1380,5539,5533,5162,32,345,2628,143,7888.0
Alugo T3 Montijo,Apartamento,150710,MONTIJO,MONTIJO,SETUBAL,105.0,1300,4418,1039,1015,6391,20209,2259,1116,1143,10926,4699,41404,7085,4306,22932,7081,6072,6167,3661,6666,10580,8258,20730,20674,18731,191,1808,6978,3837,9007.0
Apartamento T5 | Arrendamento | Renovado | Boavista | Garagem | Arrumo,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,230.0,3000,1638,1274,573,3343,14953,1945,926,1019,6306,4610,27911,3591,2865,14574,6881,3114,4389,2364,3517,4886,9641,12818,15093,11486,161,1171,6420,1327,11352.0
Apartamento T2 em Alvalade,Apartamento,110654,ALVALADE,LISBOA,LISBOA,100.0,1600,504,1140,845,2194,18924,2447,888,1559,7633,5791,33309,4639,3329,17104,8237,3861,3172,1864,3486,5899,15027,15920,17389,14959,87,874,7310,1793,13415.0
2 Quartos para arrendar,Apartamento,111513,AGUAS LIVRES,AMADORA,LISBOA,90.0,450,1050,910,803,2555,20319,2081,962,1119,10365,5312,37607,5256,3723,19640,8988,5103,6982,3459,6282,9207,6574,17951,19656,16132,190,1629,8544,5225,9078.0
"Loft T2 em Lisboa de 286,00 m2",Apartamento,110621,MARVILA,LISBOA,LISBOA,286.0,6900,605,152,733,1426,16810,1489,671,818,6351,7052,35479,4698,3751,18489,8541,5145,8873,4167,6132,6869,4293,15434,20045,13323,242,1869,8592,1924,13415.0
Moradia T1 à Estação de Rio Tinto,Moradia,130814,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,50.0,700,4737,2104,849,7571,25182,2169,1047,1122,14007,5807,49832,5762,4856,27452,11762,5009,9065,4526,7368,11367,12497,24411,25421,22096,245,2070,11692,1779,9937.0
"Apartamento T5 para arrendamento no Edifício Infinity, em...",Apartamento,110610,CAMPOLIDE,LISBOA,LISBOA,274.0,15000,1467,482,306,2164,9123,1583,611,972,3000,3141,14787,1702,1413,8077,3595,1703,2436,1250,2053,2867,4478,7132,7655,6503,54,575,3360,1550,13415.0
Moradia T6 de Luxo na Quinta da Beloura,Moradia,111128,SINTRA,SINTRA,LISBOA,847.0,15000,7953,1643,162,9688,14820,1779,803,976,7834,2708,29896,4262,3429,16195,6010,3536,4442,2473,4671,7376,7398,14290,15606,13269,83,938,5554,2082,9057.0
Moradia T6 para arrendamento,Moradia,110508,CASCAIS,CASCAIS,LISBOA,521.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Moradia Unifamiliar ainda em fase de remodelação na Lapa.,Moradia,110660,ESTRELA,LISBOA,LISBOA,456.0,15000,813,1232,736,2489,12677,2564,915,1649,3688,4558,20267,3013,2107,10956,4191,2478,2179,1179,2068,3746,8617,9945,10322,9254,63,628,3698,2909,13415.0
"Moradia de luxo para arrendamento na Rua da Arriaga com jardim, elevad",Moradia,110660,ESTRELA,LISBOA,LISBOA,670.0,15000,813,1232,736,2489,12677,2564,915,1649,3688,4558,20267,3013,2107,10956,4191,2478,2179,1179,2068,3746,8617,9945,10322,9254,63,628,3698,2909,13415.0
Moradia T4 na Costa da Guia em Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,206.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Moradia T6 para arrendamento no centro do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,340.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T4 de luxo no Estoril Sol,Apartamento,110508,CASCAIS,CASCAIS,LISBOA,190.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Moradia Isolada T4+1 - Cascais.,Moradia,110508,CASCAIS,CASCAIS,LISBOA,210.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Excelente Moradia V5 Isolada Com Piscina e Jardim em Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,383.0,15000,8754,1787,283,10732,20190,1973,918,1055,10350,4810,44165,6687,5235,23299,8944,5753,7355,4133,7305,10708,8911,20433,23732,18572,134,1727,8237,4474,11268.0
"Para Arrendar | Moradia T6 | Estoril, Cascais",Moradia,110508,CASCAIS,CASCAIS,LISBOA,330.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Moradia Geminada, em condomínio fechado, com vista mar - ...",Moradia,110507,CARCAVELOS,CASCAIS,LISBOA,298.0,15000,3368,2417,1012,6625,25081,2367,859,1508,13405,5019,46529,6193,4914,23874,11548,4781,4547,2915,6157,11312,16817,21502,25027,19800,149,1553,10669,4797,11268.0
"SEM FIADOR. Ao metro Marquês, mobilado e equipado",Apartamento,131210,PARANHOS,PORTO,PORTO,40.0,850,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
T1 ao metro Mobilado SEM FIADOR,Apartamento,131217,CEDOFEITA,PORTO,PORTO,55.0,900,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
T2 Aceita animal doméstico. Ao metro com elevador,Apartamento,131217,CEDOFEITA,PORTO,PORTO,75.0,1200,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Apartamento T2 Arrendamento em São João Baptista,Entroncamento",Apartamento,141001,SAO JOAO BAPTISTA,ENTRONCAMENTO,SANTAREM,87.0,650,1170,232,188,1571,4502,842,306,536,2337,747,7292,944,699,3680,1969,812,1443,704,1224,1809,1300,3186,4106,2937,24,225,1949,424,9678.0
Para Arrendamento - Moradia de 4 Pisos na Portela de Sintra,Moradia,111128,SINTRA,SINTRA,LISBOA,168.0,2100,7953,1643,162,9688,14820,1779,803,976,7834,2708,29896,4262,3429,16195,6010,3536,4442,2473,4671,7376,7398,14290,15606,13269,83,938,5554,2082,9057.0
Apartamento T2 para arrendamento,Apartamento,110656,ARROIOS,LISBOA,LISBOA,120.0,4900,271,1150,1532,2362,20906,3890,1559,2331,6130,7674,33302,3456,3135,20036,6675,3945,3450,1702,3726,7224,13255,17939,15363,16499,101,1339,5987,7770,13415.0
Apartamento T3 para arrendamento,Apartamento,131218,LORDELO DO OURO,PORTO,PORTO,151.9,2100,1638,1274,573,3343,14953,1945,926,1019,6306,4610,27911,3591,2865,14574,6881,3114,4389,2364,3517,4886,9641,12818,15093,11486,161,1171,6420,1327,11352.0
MORADIA T4 de 3 frentes – Garagem 2 carros – Terraço e jardim - Leça d,Moradia,130812,MATOSINHOS,MATOSINHOS,PORTO,272.0,3500,4880,1405,945,7054,24642,2295,1094,1201,12648,6487,49034,6447,4787,26644,11156,5695,9246,4484,6502,9959,13148,23627,25407,21177,256,2194,10663,2162,9937.0
"Apartamento T1Kit,  no empreendimento Asprela Urban, junto ao Hospital",Apartamento,130814,SAO MAMEDE DE INFESTA,MATOSINHOS,PORTO,58.0,950,4737,2104,849,7571,25182,2169,1047,1122,14007,5807,49832,5762,4856,27452,11762,5009,9065,4526,7368,11367,12497,24411,25421,22096,245,2070,11692,1779,9937.0
Apartamento T0+1 no Centro de Matosinhos - Arrendamento,Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,55.3,1295,4880,1405,945,7054,24642,2295,1094,1201,12648,6487,49034,6447,4787,26644,11156,5695,9246,4484,6502,9959,13148,23627,25407,21177,256,2194,10663,2162,9937.0
Apartamento T3 para arrendamento,Apartamento,131217,CEDOFEITA,PORTO,PORTO,160.0,2900,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Apartamento T2 novo, localizado na zona histórica de Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,80.0,1250,1539,1050,689,3114,13392,1613,936,677,5065,3829,21227,2547,2315,11865,4500,2124,2296,1361,2560,4487,8399,10878,10349,10185,68,625,4174,1990,10205.0
Apartamento T3 para arrendamento,Apartamento,110611,CARNIDE,LISBOA,LISBOA,92.0,1750,862,102,419,1326,9022,831,297,534,4300,2601,18028,2462,2008,9289,4269,2246,2774,1386,2422,3093,6107,8322,9706,7604,84,634,4044,859,13415.0
Apartamento T0 novo no Centro de Aveiro,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,31.0,700,1539,1050,689,3114,13392,1613,936,677,5065,3829,21227,2547,2315,11865,4500,2124,2296,1361,2560,4487,8399,10878,10349,10185,68,625,4174,1990,10205.0
"Apartamento T1 para arrendar, localizado no centro da cidade de Aveiro",Apartamento,10517,GLORIA,AVEIRO,AVEIRO,50.3,800,1539,1050,689,3114,13392,1613,936,677,5065,3829,21227,2547,2315,11865,4500,2124,2296,1361,2560,4487,8399,10878,10349,10185,68,625,4174,1990,10205.0
Apartamento T1 localizado no centro da cidade de Aveiro,Apartamento,10517,GLORIA,AVEIRO,AVEIRO,56.8,825,1539,1050,689,3114,13392,1613,936,677,5065,3829,21227,2547,2315,11865,4500,2124,2296,1361,2560,4487,8399,10878,10349,10185,68,625,4174,1990,10205.0
"Apartamento T1+1 com marquise e lugar de garagem, na Rua da Bélgica em",Apartamento,131704,CANIDELO,VILA NOVA DE GAIA,PORTO,60.0,900,4323,859,307,5446,13763,1005,478,527,7724,2873,28054,3788,2834,15727,5705,3257,5621,2949,4267,6326,5634,13712,14342,12217,150,1345,5700,986,8928.0
"Apartamento na Avenida do Brasil 154, São Marcos, Cacém",Apartamento,111124,CACEM,SINTRA,LISBOA,90.0,1000,755,378,774,1815,18133,1381,370,1011,10968,4017,39683,6238,5257,23018,5170,4973,5277,3943,7651,12089,5750,21609,18074,19599,193,1817,5134,4826,9057.0
Apartamento T1 | Novo | Varanda | L. Garagem | Asprela | P.Univ.,Apartamento,131210,PARANHOS,PORTO,PORTO,44.9,900,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
T2 Ericeira com Suite.Garagem.Vista mar,Apartamento,110906,ERICEIRA,MAFRA,LISBOA,112.0,1790,2626,1440,274,4257,9476,556,299,257,3194,1375,12359,1954,1279,6729,2397,1563,1737,1161,1853,3040,3005,5974,6385,5485,38,451,2298,1356,9599.0
Apartamento T2 mobilado na Marginal da Figueira da Foz [c...,Apartamento,60520,BUARCOS,FIGUEIRA DA FOZ,COIMBRA,83.0,800,3756,1963,508,6155,19130,2430,1759,671,5118,2444,18386,1935,1732,9256,5463,1956,3221,1583,2973,4325,4328,7960,10426,7167,76,717,5213,1312,9400.0
"T2 totalmente mobilado, junto do metro, comércio e escolas",Moradia,130408,RIO TINTO,GONDOMAR,PORTO,60.0,780,6171,2190,707,8973,24327,2460,1128,1332,13460,6219,51083,6382,5332,28318,11051,5516,10188,5671,8540,12530,8638,25203,25880,22349,325,2529,11419,1603,8269.0
Moradia T6+1 para arrendamento junto ao Golf do Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,310.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento Oriente para Arendar,Apartamento,110662,PARQUE DAS NACOES,LISBOA,LISBOA,70.0,1500,135,81,561,663,11325,1151,495,656,5703,2847,22382,3961,2701,12321,3399,2946,2262,1666,2491,3652,9365,10966,11416,10201,85,680,3112,2137,13415.0
Moradia T5 para arrendamento com jardim e piscina no Estoril,Moradia,110508,CASCAIS,CASCAIS,LISBOA,346.54,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Casa / Villa T6 em Lisboa de 670,00 m2",Moradia,110660,ESTRELA,LISBOA,LISBOA,670.0,15000,813,1232,736,2489,12677,2564,915,1649,3688,4558,20267,3013,2107,10956,4191,2478,2179,1179,2068,3746,8617,9945,10322,9254,63,628,3698,2909,13415.0
T1 Baixa Porto despesas incluidas,Apartamento,131217,CEDOFEITA,PORTO,PORTO,40.0,1000,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Casa T5 em Lisboa de 890,00 m2",Moradia,110658,BELEM,LISBOA,LISBOA,890.0,15000,1373,1193,319,2762,9389,1429,550,879,4282,2294,16546,2468,1729,7958,4391,1843,1628,915,1789,2916,7455,7467,9079,7039,33,395,3815,1178,13415.0
"Apartamento T3 , semi mobilado",Apartamento,111610,RAMADA,ODIVELAS,LISBOA,120.0,1300,3558,1484,464,5459,15335,1179,561,618,9408,2826,34531,5641,3713,18656,6521,4565,5874,3201,5236,8339,7316,17260,17271,16076,132,1052,6322,1962,9657.0
Moradia T10 com jardim situada no Restelo,Moradia,110658,BELEM,LISBOA,LISBOA,720.0,15000,1373,1193,319,2762,9389,1429,550,879,4282,2294,16546,2468,1729,7958,4391,1843,1628,915,1789,2916,7455,7467,9079,7039,33,395,3815,1178,13415.0
T3 Mobilado - São Domingos,Apartamento,141633,SANTAREM,SANTAREM,SANTAREM,90.0,1500,4304,1110,782,6070,16372,2235,1118,1117,8082,3760,30017,4335,3304,15752,6626,3771,4412,2657,4767,7099,7311,14242,15775,13277,100,865,6540,1738,9079.0
"Moradia, 55 m², Alcântara",Moradia,110602,ALCANTARA,LISBOA,LISBOA,55.0,950,578,579,336,1366,8868,1508,601,907,2750,3487,13850,1774,1235,7500,3341,1616,2025,980,1894,2742,4593,6774,7076,6137,45,592,3072,1627,13415.0
"Moradia Isolada T4 - Quinta da Pedra, Guia",Moradia,110508,CASCAIS,CASCAIS,LISBOA,206.0,15000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
"Ericeira - Apt T2 com piscina, vista mar e garagem",Apartamento,110906,ERICEIRA,MAFRA,LISBOA,100.0,1390,2626,1440,274,4257,9476,556,299,257,3194,1375,12359,1954,1279,6729,2397,1563,1737,1161,1853,3040,3005,5974,6385,5485,38,451,2298,1356,9599.0
"Apartamento T0 Arrendamento em Matosinhos e Leça da Palmeira,Matosinho",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,43.0,900,4880,1405,945,7054,24642,2295,1094,1201,12648,6487,49034,6447,4787,26644,11156,5695,9246,4484,6502,9959,13148,23627,25407,21177,256,2194,10663,2162,9937.0
"Arrendamento de Apartamento T1 novo, Cedofeita, Bairro das Artes.",Apartamento,131217,CEDOFEITA,PORTO,PORTO,30.0,950,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
Apartamento T2 para arrendamento,Apartamento,131210,PARANHOS,PORTO,PORTO,101.0,1500,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
Duplex T2 para arrendamento,Apartamento,131217,CEDOFEITA,PORTO,PORTO,119.2,2000,3140,3539,1341,7162,27098,6863,3481,3382,7135,9538,37430,3309,3272,20621,10228,3548,5911,2641,4749,7622,12959,18084,19346,15946,186,1952,9670,4447,11352.0
"Moradia T4+1 em banda muito ampla, situada em Oeiras, num local privil",Moradia,111014,OEIRAS,OEIRAS,LISBOA,240.0,2900,2161,2668,1342,5931,31345,3283,1031,2252,16841,6884,58094,7426,5869,29906,14893,6069,6144,3699,8237,13548,20397,27182,30912,25148,167,1867,13562,4759,12916.0
"Apartamento T3, novo, com garagem e varanda no Porto",Apartamento,131210,PARANHOS,PORTO,PORTO,116.95,1950,3938,2527,813,7034,27478,2979,1551,1428,9534,9904,45883,4827,4785,24582,11689,4615,7727,3716,6189,9380,14256,21489,24394,18944,243,2302,11265,3109,11352.0
"Apartamento T2 Arrendamento em Ramalde,Porto",Apartamento,131211,RAMALDE,PORTO,PORTO,102.0,1600,2588,1479,556,4524,19148,1776,617,1159,9559,5724,38847,5079,4066,20517,9185,4369,6074,3243,5256,7482,12423,18168,20679,16277,237,1654,8767,1561,11352.0
Moradia T4 para arrendamento,Moradia,150804,QUINTA DO ANJO,PALMELA,SETUBAL,178.0,3950,5519,343,2,5856,7767,915,425,490,4144,940,14262,2245,1560,7710,2747,1948,2332,1245,2237,3619,2881,6917,7345,6402,50,465,2630,711,9076.0
Apartamento T0 para arrendamento,Apartamento,110661,MISERICORDIA,LISBOA,LISBOA,57.0,1250,282,1048,677,1286,8665,2869,1847,1022,1631,2926,9658,953,864,5608,2233,1069,1353,680,1216,2053,3287,4925,4733,4419,36,470,2046,1803,13415.0
Apartamento com 143m2 nas Torres do Restelo com garagem,Apartamento,110658,BELEM,LISBOA,LISBOA,143.0,4500,1373,1193,319,2762,9389,1429,550,879,4282,2294,16546,2468,1729,7958,4391,1843,1628,915,1789,2916,7455,7467,9079,7039,33,395,3815,1178,13415.0
Apartamento T3 para arrendamento,Apartamento,110656,ARROIOS,LISBOA,LISBOA,91.15,3500,271,1150,1532,2362,20906,3890,1559,2331,6130,7674,33302,3456,3135,20036,6675,3945,3450,1702,3726,7224,13255,17939,15363,16499,101,1339,5987,7770,13415.0
T0 totalmente renovado no centro de Sintra - Estefânia,Apartamento,111128,SINTRA,SINTRA,LISBOA,70.0,1100,7953,1643,162,9688,14820,1779,803,976,7834,2708,29896,4262,3429,16195,6010,3536,4442,2473,4671,7376,7398,14290,15606,13269,83,938,5554,2082,9057.0
T0 totalmente renovado no centro de Sintra - Estefânia,Apartamento,111128,SINTRA,SINTRA,LISBOA,60.0,950,7953,1643,162,9688,14820,1779,803,976,7834,2708,29896,4262,3429,16195,6010,3536,4442,2473,4671,7376,7398,14290,15606,13269,83,938,5554,2082,9057.0
"Moradia T5, com piscina e jardim, em Vale do Lobo, Algarve",Moradia,80801,ALMANCIL,LOULE,FARO,353.0,14000,6683,961,12,7562,10358,1659,1260,399,2493,1401,11291,1612,1108,6165,2406,1902,2195,1083,2105,2728,1278,5375,5916,4759,52,564,2174,2453,8677.0
Moradia Luxo T5 Biscaia - Cascais,Moradia,110501,ALCABIDECHE,CASCAIS,LISBOA,245.0,14000,8754,1787,283,10732,20190,1973,918,1055,10350,4810,44165,6687,5235,23299,8944,5753,7355,4133,7305,10708,8911,20433,23732,18572,134,1727,8237,4474,11268.0
"Apartamento T3 com ou sem móveis, novo a estrear, no empr...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,178.0,13900,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Moradia T4+1 mobilada para arrendar em Birre - Cascais,Moradia,110508,CASCAIS,CASCAIS,LISBOA,280.0,13000,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Apartamento T3 junto ao Parque da Devesa,Apartamento,31250,ANTAS,VILA NOVA DE FAMALICAO,BRAGA,133.0,850,1142,328,103,1554,3626,307,187,120,2080,794,8195,1303,921,4579,1392,1039,1409,916,1188,1763,1880,4212,3983,3898,31,283,1457,279,8506.0
Moradia T4 para arrendamento,Moradia,10924,SANGUEDO,SANTA MARIA DA FEIRA,AVEIRO,180.0,1750,1062,238,3,1301,1485,185,37,148,901,154,3474,490,388,1860,736,462,903,501,529,655,424,1581,1893,1460,15,106,703,32,8169.0
Arrendo T3 S. Martinho do Bispo Coimbra,Apartamento,60518,MOINHOS DA GANDARA,FIGUEIRA DA FOZ,COIMBRA,170.0,700,605,2,0,607,624,83,28,55,405,5,1098,90,104,565,339,163,334,117,201,190,93,449,649,429,1,19,338,15,9400.0
T2 Jardim Público da Cidade,Apartamento,50335,COVILHA,COVILHA,CASTELO BRANCO,90.0,650,2102,1453,480,3975,12950,2239,1603,636,4844,2783,18220,1985,1889,9401,4945,1928,3456,1452,2799,4333,4252,8363,9857,7725,62,576,5098,790,8333.0
Arrenda-se Moradia - Ericeira,Moradia,110906,ERICEIRA,MAFRA,LISBOA,1300.0,3380,2626,1440,274,4257,9476,556,299,257,3194,1375,12359,1954,1279,6729,2397,1563,1737,1161,1853,3040,3005,5974,6385,5485,38,451,2298,1356,9599.0
Apartamento T2 ótimo estado,Apartamento,150201,ALCOCHETE,ALCOCHETE,SETUBAL,69.0,700,1913,845,211,2948,6528,647,377,270,3566,1124,13228,2127,1533,7133,2435,1695,2052,1247,2001,3211,3022,6422,6806,5893,36,493,2436,813,10522.0
Triplex para arrendar Arroios,Apartamento,110656,ARROIOS,LISBOA,LISBOA,130.0,3250,271,1150,1532,2362,20906,3890,1559,2331,6130,7674,33302,3456,3135,20036,6675,3945,3450,1702,3726,7224,13255,17939,15363,16499,101,1339,5987,7770,13415.0
"Fantástico apartamento T1 duplex sem móveis, em condomíni...",Apartamento,110508,CASCAIS,CASCAIS,LISBOA,60.0,1550,9597,3915,950,14129,38739,4764,2664,2100,16435,8356,64192,8728,6654,32190,16620,7778,6862,4355,8857,15356,20984,27563,36629,25262,232,2069,14681,10609,11268.0
Excelente apartamento com 3 assoalhadas Mobilado e equipado em Almada,Apartamento,150312,ALMADA,ALMADA,SETUBAL,68.0,1300,1752,1350,1283,4181,28086,3543,1530,2013,13302,7781,48608,5336,4591,24468,14213,5014,8111,3916,8067,11937,11563,21875,26733,19730,199,1946,13620,4596,9927.0
"Apartamento Avenida da Republica, Matosinhos",Apartamento,130812,MATOSINHOS,MATOSINHOS,PORTO,47.53,800,4880,1405,945,7054,24642,2295,1094,1201,12648,6487,49034,6447,4787,26644,11156,5695,9246,4484,6502,9959,13148,23627,25407,21177,256,2194,10663,2162,9937.0
"T2 Carnide, Lisboa",Apartamento,110611,CARNIDE,LISBOA,LISBOA,71.0,1300,862,102,419,1326,9022,831,297,534,4300,2601,18028,2462,2008,9289,4269,2246,2774,1386,2422,3093,6107,8322,9706,7604,84,634,4044,859,13415.0
Excelente T2 junto ao Estadio da Luz,Apartamento,110639,SAO DOMINGOS DE BENFICA,LISBOA,LISBOA,100.0,2000,329,419,978,1484,20331,2086,867,1219,9690,4824,34076,4057,3463,17560,8996,3278,2980,1730,3791,6199,16098,16610,17466,15646,65,899,7975,2149,13415.0
